Fast A,Fast B,Slow A,Slow B
35,28,37,28
38,30,39,30
44,34,49,34
52,37,59,42
59,45,66,47
36,22,37,28
43,24,46,36
42,22,45,35
44,24,44,32
40,20,46,35
39,19,46,31
43,18,38,26
45,16,36,26
49,15,31,25
51,13,28,20
48,13,28,20
48,12,33,18
54,13,32,19
52,11,34,17
61,11,32,17
60,8,35,16
57,6,32,19
57,5,32,25
61,3,28,25
64,2,36,25
64,3,35,22
65,5,41,19
63,5,42,14
63,5,48,16
60,5,43,17
72,3,44,21
72,1,40,21
78,3,47,20
78,4,49,18
79,3,54,16
79,3,59,14
85,3,69,13
82,2,70,12
81,2,74,14
84,2,69,15
82,2,65,16
78,2,62,20
79,1,66,19
84,1,64,15
89,1,69,12
94,1,77,12
103,1,81,11
101,1,80,10
96,1,98,13
93,1,113,15
90,1,115,14
88,2,127,11
99,2,140,12
104,1,139,11
109,2,153,13
118,2,175,11
124,1,175,11
120,2,177,12
121,2,190,16
119,1,196,13
127,1,206,15
122,1,217,15
135,0,240,16
154,0,241,13
164,0,256,15
169,0,271,17
199,0,314,19
204,0,329,20
209,0,354,21
227,0,384,23
242,0,411,22
246,0,412,22
269,0,433,23
287,0,474,26
301,0,484,28
322,0,487,33
350,0,505,35
371,0,540,37
387,0,549,36
398,0,578,44
424,0,608,44
436,0,647,51
451,0,665,55
471,0,697,61
496,0,704,58
511,0,715,60
530,0,712,61
553,0,697,65
578,0,680,67
599,0,710,77
625,0,694,82
642,0,668,81
654,0,675,84
661,0,681,86
687,0,645,88
705,0,672,90
743,0,676,105
758,0,687,110
789,0,687,121
819,0,673,125
804,0,657,127
809,0,672,124
834,0,659,134
800,0,670,135
754,0,698,134
749,0,681,151
725,0,655,158
680,0,653,162
686,0,627,168
681,0,592,178
645,0,564,173
614,0,546,195
594,0,501,211
547,0,473,235
496,0,455,251
466,0,439,272
399,0,425,275
358,0,415,295
321,0,403,317
289,0,400,336
262,0,397,355
260,0,390,370
244,0,378,374
233,0,378,367
226,0,352,381
226,0,345,383
220,0,323,391
202,0,318,388
178,0,289,397
170,0,274,384
166,0,248,398
159,0,246,397
156,0,238,423
154,0,247,429
160,0,237,444
149,0,248,448
149,0,261,467
138,0,254,459
143,0,242,461
140,0,239,449
139,0,226,433
128,0,205,402
128,0,191,384
125,0,188,373
112,0,190,366
99,0,180,372
91,0,172,379
93,0,170,384
87,0,159,376
89,0,144,377
88,0,140,365
85,0,137,366
76,0,132,376
73,0,123,373
71,0,121,370
72,0,119,372
72,0,111,361
70,0,112,339
59,0,112,341
57,0,110,338
57,0,101,329
54,0,101,328
49,0,96,324
63,0,99,329
61,0,101,340
64,0,109,336
64,0,118,339
86,0,121,349
90,0,123,355
98,0,127,348
106,0,141,369
115,0,136,385
109,0,144,393
118,0,144,387
127,0,142,398
132,0,137,390
150,0,137,384
155,0,137,383
158,0,139,379
167,0,145,377
178,0,146,395
193,0,164,419
216,0,176,429
238,0,191,443
247,0,213,474
264,0,223,481
266,0,237,483
286,0,246,523
298,0,259,527
306,0,267,531
315,0,277,541
320,0,266,571
317,0,275,558
317,0,275,601
316,0,272,619
309,0,274,624
327,0,288,615
335,0,286,605
331,0,280,593
360,0,294,600
361,0,301,619
349,0,302,609
342,0,306,626
350,0,323,631
345,0,326,631
364,0,320,633
372,0,329,643
380,0,341,613
381,0,355,592
391,0,359,572
389,0,392,577
391,0,407,568
396,0,403,589
402,0,410,631
398,0,418,658
406,0,419,667
422,0,425,724
437,0,438,776
467,0,435,788
494,0,431,782
533,0,440,781
567,0,436,789
583,0,445,782
610,0,445,814
628,0,469,845
645,0,479,880
666,0,505,880
686,0,512,903
670,0,537,897
671,0,547,902
663,0,544,936
657,0,516,969
653,0,514,1016
657,0,529,1056
618,0,526,1142
597,0,518,1171
564,0,521,1238
540,0,522,1265
511,0,487,1293
509,0,481,1309
496,0,471,1351
493,0,473,1333
479,0,486,1320
467,0,479,1305
450,0,453,1260
444,0,433,1191
426,0,405,1166
406,0,375,1181
390,0,375,1213
367,0,376,1229
335,0,382,1253
314,0,402,1261
280,0,418,1251
272,0,427,1228
264,0,424,1233
254,0,417,1240
245,0,405,1260
251,0,389,1256
235,0,364,1262
226,0,367,1239
217,0,367,1254
216,0,371,1205
217,0,373,1165
211,0,385,1138
194,0,378,1122
193,0,363,1051
191,0,334,1034
178,0,299,1023
177,0,274,1009
189,0,249,1003
178,0,237,1002
188,0,213,972
185,0,200,934
171,0,180,903
169,0,176,835
173,0,174,804
163,0,176,784
165,0,190,775
175,0,202,728
159,0,216,730
159,0,227,687
160,0,232,660
162,0,227,611
162,0,215,587
165,0,205,566
155,0,176,561
136,0,160,545
131,0,155,537
121,0,150,510
123,0,129,474
128,0,123,442
135,0,121,416
134,0,101,425
139,0,99,421
145,0,101,413
152,0,108,422
151,0,112,434
157,0,121,431
155,0,128,449
150,0,132,457
142,0,131,450
154,0,130,457
153,0,135,454
167,0,127,435
176,0,133,437
180,0,140,437
183,0,143,416
194,0,142,413
203,0,148,412
203,0,146,406
207,0,148,406
217,0,157,414
215,0,169,395
204,0,169,404
218,0,180,411
232,0,183,411
236,0,177,395
258,0,174,398
272,0,190,390
286,0,192,384
321,0,200,371
349,0,220,368
374,0,221,368
399,0,218,371
415,0,215,362
426,0,210,359
422,0,203,375
415,0,207,371
427,0,202,373
440,0,214,385
427,0,222,391
447,0,224,398
467,0,222,412
471,0,232,419
477,0,230,418
500,0,227,419
519,0,220,408
550,0,227,418
568,0,228,422
585,0,211,405
603,0,220,415
594,0,220,424
575,0,220,412
601,0,216,387
608,0,234,394
602,0,231,400
622,0,258,399
636,0,270,407
644,0,286,434
659,0,289,441
677,0,305,430
678,0,302,441
693,0,299,442
680,0,302,433
684,0,325,433
687,0,336,448
683,0,349,444
659,0,363,466
643,0,373,487
625,0,374,498
625,0,381,486
631,0,382,478
634,0,392,454
651,0,414,438
662,0,422,429
634,0,424,446
615,0,421,458
610,0,426,474
585,0,414,484
572,0,406,499
570,0,394,532
576,0,414,555
601,0,407,563
591,0,400,589
592,0,396,616
588,0,393,614
581,0,369,625
552,0,361,645
561,0,364,646
540,0,349,652
533,0,346,654
511,0,343,654
491,0,320,654
445,0,301,669
438,0,285,662
407,0,280,646
392,0,274,641
372,0,284,643
370,0,285,657
344,0,284,690
342,0,275,712
344,0,267,742
333,0,260,761
339,0,251,775
336,0,242,787
329,0,232,817
314,0,211,838
315,0,194,872
310,0,180,879
308,0,175,892
298,0,179,915
298,0,172,889
290,0,171,878
265,0,171,859
261,0,173,846
240,0,169,819
233,0,176,828
218,0,180,801
217,0,195,810
203,0,200,769
204,0,210,760
